what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1385037195501
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1385037195549
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1385037195632
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1385037195677
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1385037195692
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1385037195769
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1385037195817
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1385037196052
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1385037196161
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1385037196213
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1385037196213
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1385037196273
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1385037196339
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1385037196407
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1385037196511
os,sysinfo,,,"win32",1385037196514
arch,sysinfo,,,"x86_64",1385037196514
ws,sysinfo,,,"win32",1385037196514
locale,sysinfo,,,"fr_FR",1385037196514
processors,sysinfo,,,"4",1385037196514
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1385037196514
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1385037196514
java.specification.name,sysinfo,,,"Java Platform API Specification",1385037196514
java.specification.vendor,sysinfo,,,"Oracle Corporation",1385037196514
java.specification.version,sysinfo,,,"1.7",1385037196514
java.vendor,sysinfo,,,"Oracle Corporation",1385037196514
java.version,sysinfo,,,"1.7.0_17",1385037196514
java.vm.info,sysinfo,,,"mixed mode",1385037196514
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1385037196514
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1385037196514
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1385037196514
java.vm.specification.version,sysinfo,,,"1.7",1385037196514
java.vm.vendor,sysinfo,,,"Oracle Corporation",1385037196514
java.vm.version,sysinfo,,,"23.7-b01",1385037196514
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1385037196669
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1385037197221
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1385037197331
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1385037197745
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1385037197760
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1385037197823
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1385037197894
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1385037198329
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1385037198532
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1385037198561
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1385037199092
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037199408
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1385037199463
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1385037199516
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1385037199581
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1385037199711
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1385037199835
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037214421
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1385037217402
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385037224467
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385037224537
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037227272
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037332605
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385037338631
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385037338677
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385037342045
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385037342117
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037350247
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037395127
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1385037399221
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1385037399439
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1385037399455
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1385037399502
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037404408
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037422706
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1385037425425
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385037427425
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037428456
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037472256
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385037488384
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385038651470
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385038664687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385038696188
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385038703032
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385038704453
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385038709271
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385038715193
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385038779714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385038780526
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1385039039540
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1385039039650
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1385039050291
